requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
39743,Manhattan,2026,1,10,21,0,37,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,21,15,28,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,21,30,37,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,21,45,30,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,22,0,22,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,22,15,30,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,22,30,28,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,22,45,25,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,23,0,27,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,23,15,33,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,23,30,24,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,10,23,45,35,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,11,0,0,25,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,11,0,15,28,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,11,0,30,22,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,11,0,45,19,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
39743,Manhattan,2026,1,11,1,0,19,31662,POINT (981848.6609912371 204698.1404409656),GREENWICH STREET,King Street,West Houston Street,NB
38417,Manhattan,2025,1,11,10,0,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,10,15,7,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,10,30,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,10,45,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,11,0,6,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,11,15,10,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,11,30,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,11,45,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,12,0,19,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,12,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,12,30,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,12,45,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,13,0,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,13,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,13,30,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,13,45,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,14,0,10,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,14,15,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,14,30,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,14,45,22,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,15,0,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,15,15,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,15,30,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,15,45,11,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,0,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,15,14,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,30,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,16,45,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,0,13,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,30,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,17,45,17,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,0,15,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,30,9,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,18,45,7,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,0,4,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
38417,Manhattan,2025,1,11,19,15,8,73021,POINT (1008609.6594247529 256511.52191156909),9 AVENUE,West 218 Street,West 219 Street,SB
