link_id,link_name,lat,lon
4616323,12th Ave S 57th St - 45th St,40.77158,-73.994441
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,40.70908,-73.9959
4616338,12th Ave N 40th - 57th St,40.7607,-74.002141
4616339,BQE N Atlantic Ave - BKN Bridge Manhattan Side,40.6916,-73.99915
4616333,FDR S 25th St - Catherine Slip,40.736971,-73.97477
4329472,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,40.75829,-73.997531
4329507,LINCOLN TUNNEL W NORTH TUBE NY - NJ,40.75719,-73.99724
4329508,LINCOLN TUNNEL W CENTER TUBE NY - NJ,40.75766,-73.99687
4456501,BBT W Toll Plaza - Manhattan Portal,40.68036,-74.00441001
4456511,QMT E Manhattan Side - Toll Plaza,40.745726,-73.97359
4456494,West St S Spring St - BBT Manhattan Portal outbound,40.7262006,-74.01112
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,40.80069,-73.92878
4456502,BBT E Manhattan Portal - Toll Plaza,40.70631,-74.01501
4329473,LINCOLN TUNNEL E CENTER TUBE NJ - NY,40.7578106,-73.996801
4616329,FDR N 25th - 63rd St,40.7369006,-73.974651
4616324,12th ave @ 45th - 11 ave ganservoort st,40.76375,-73.999191
4616346,Westside Hwy S GWB - 57th St,40.8500304,-73.944831
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,40.8011005,-73.92846
4616328,FDR N Catherine Slip - 25th St,40.71141,-73.97866
4616337,11th ave n ganservoort - 12th ave @ 40th st,40.74047,-74.009251
4620343,Westside Hwy N 57th St - GWB,40.77149,-73.99423
4616332,FDR S 63rd - 25th St,40.7606904,-73.956791
4616340,BQE N Atlantic Ave - MAN Bridge Manhattan Side,40.7016405,-73.991121
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,40.7081105,-73.99944
4620298,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,40.8462505,-73.932161
4616325,11th ave s ganservoort - west st @ spring st,40.73933,-74.01004
