"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2023","Citywide","1","0","-","-","New York City","New York City","42,907","64.6","66.4"
"2023","Borough","1","1","1","Bronx","Bronx","Bronx","14,101","136.4","138.1"
"2023","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","12,663","63.0","64.8"
"2023","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7,513","54.3","55.7"
"2023","Borough","4","1","4","Queens","Queens","Queens","7,043","38.6","40.3"
"2023","Borough","5","1","5","Staten Island","Staten Island","Staten Island","1,587","41.1","43.6"
"2023","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","320","44.8","47.6"
"2023","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","1,625","104.6","112.8"
"2023","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","2,443","132.4","132.3"
"2023","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","2,176","98.3","100.0"
"2023","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","2,588","171.9","171.0"
"2023","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","2,717","178.0","179.0"
"2023","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","1,961","192.3","193.5"
"2023","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","385","34.3","38.5"
"2023","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","918","42.8","45.8"
"2023","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","3,089","114.4","116.5"
"2023","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","1,791","121.3","123.3"
"2023","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","325","35.6","36.2"
"2023","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","462","20.0","20.7"
"2023","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","1,992","86.3","89.4"
"2023","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","1,041","66.0","71.5"
"2023","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","270","16.8","17.9"
"2023","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","699","30.9","34.5"
"2023","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","1,525","91.0","92.1"
"2023","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","1,082","52.0","52.6"
"2023","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","2,333","157.7","157.9"
"2023","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","1,539","173.2","176.2"
"2023","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","489","25.2","27.0"
"2023","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","246","13.8","14.5"
