crossing,year,month,automobiles,buses,trucks,total_vehicles
Lincoln Tunnel,2024,1,1225543,135235,87590,1448368
Lincoln Tunnel,2024,2,1217559,128853,82750,1429162
Lincoln Tunnel,2024,3,1368943,140030,87330,1596303
Lincoln Tunnel,2024,4,1345618,140382,91284,1577284
Lincoln Tunnel,2024,5,1441254,142727,96363,1680344
Lincoln Tunnel,2024,6,1399173,134165,89835,1623173
Lincoln Tunnel,2024,7,1363933,140817,91026,1595776
Lincoln Tunnel,2024,8,1410989,140197,95223,1646409
Lincoln Tunnel,2024,9,1399025,131861,93684,1624570
Lincoln Tunnel,2024,10,1436004,145540,101158,1682702
Lincoln Tunnel,2024,11,1324217,131560,88529,1544306
Lincoln Tunnel,2024,12,1348481,136784,88557,1573822
Lincoln Tunnel,2025,1,1110491,134254,85080,1329825
Lincoln Tunnel,2025,2,1055381,126148,80342,1261871
Lincoln Tunnel,2025,3,1274329,137773,90378,1502480
Lincoln Tunnel,2025,4,1256524,140474,91539,1488537
Lincoln Tunnel,2025,5,1404782,141048,92765,1638595
Lincoln Tunnel,2025,6,1342522,136217,90416,1569155
Lincoln Tunnel,2025,7,1317030,139201,95130,1551361
Lincoln Tunnel,2025,8,1357493,137429,91771,1586693
Lincoln Tunnel,2025,9,1303547,134168,98850,1536565
Lincoln Tunnel,2025,10,1317680,140480,105480,1563640
Lincoln Tunnel,2025,11,1268455,130729,87081,1486265
Lincoln Tunnel,2025,12,1230106,142578,90392,1463076
Lincoln Tunnel,2026,1,1052240,129739,81158,1263137
Lincoln Tunnel,2026,2,958955,119863,76764,1155582
Lincoln Tunnel,2026,3,1192349,144371,92222,1428942
Lincoln Tunnel,2026,4,1147406,141967,90490,1379863
Lincoln Tunnel,2026,5,1229138,137650,91436,1458224
Lincoln Tunnel,2026,6,1156893,145436,92135,1394464
Lincoln Tunnel,2026,7,,,,
Lincoln Tunnel,2026,8,,,,
Lincoln Tunnel,2026,9,,,,
Lincoln Tunnel,2026,10,,,,
Lincoln Tunnel,2026,11,,,,
Lincoln Tunnel,2026,12,,,,
Holland Tunnel,2024,1,1167603,3748,37194,1208545
Holland Tunnel,2024,2,1155517,3667,34733,1193917
Holland Tunnel,2024,3,1282671,4443,37191,1324305
Holland Tunnel,2024,4,1252696,4687,37398,1294781
Holland Tunnel,2024,5,1321920,5110,40096,1367126
Holland Tunnel,2024,6,1297693,5230,37619,1340542
Holland Tunnel,2024,7,1292870,5270,38840,1336980
Holland Tunnel,2024,8,1322009,4959,39594,1366562
Holland Tunnel,2024,9,1286285,5126,38383,1329794
Holland Tunnel,2024,10,1327274,5327,41177,1373778
Holland Tunnel,2024,11,1265722,4428,36896,1307046
Holland Tunnel,2024,12,1327734,4257,37644,1369635
Holland Tunnel,2025,1,1109523,3881,34805,1148209
Holland Tunnel,2025,2,1041322,3654,32916,1077892
Holland Tunnel,2025,3,1220569,4590,36336,1261495
Holland Tunnel,2025,4,1201530,4827,37515,1243872
Holland Tunnel,2025,5,1285769,5216,39452,1330437
Holland Tunnel,2025,6,1265807,5271,38373,1309451
Holland Tunnel,2025,7,1278796,5295,39725,1323816
Holland Tunnel,2025,8,1313742,4980,38493,1357215
Holland Tunnel,2025,9,1256902,3622,39439,1299963
Holland Tunnel,2025,10,1287849,4100,40932,1332881
Holland Tunnel,2025,11,1253668,4734,35740,1294142
Holland Tunnel,2025,12,1282165,4694,39281,1326140
Holland Tunnel,2026,1,1095942,4547,35473,1135962
Holland Tunnel,2026,2,1015236,4227,33183,1052646
Holland Tunnel,2026,3,1251097,5684,38952,1295733
Holland Tunnel,2026,4,1228074,5829,39282,1273185
Holland Tunnel,2026,5,1305608,6016,39663,1351287
Holland Tunnel,2026,6,1291013,7291,42290,1340594
Holland Tunnel,2026,7,,,,
Holland Tunnel,2026,8,,,,
Holland Tunnel,2026,9,,,,
Holland Tunnel,2026,10,,,,
Holland Tunnel,2026,11,,,,
Holland Tunnel,2026,12,,,,
