"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2024","Citywide","1","0","-","-","New York City","New York City","6.3","7.9","6.0"
"2024","Borough","1","1","1","Bronx","Bronx","Bronx","6.4","8.2","6.1"
"2024","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.4","8.1","6.3"
"2024","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.7","9.6","7.2"
"2024","Borough","4","1","4","Queens","Queens","Queens","5.9","7.5","5.6"
"2024","Borough","5","1","5","Staten Island","Staten Island","Staten Island","5.9","7.3","5.9"
"2024","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.3","8.2","6.2"
"2024","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.1","8.1","5.7"
"2024","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.4","8.3","6.1"
"2024","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.3","8.1","5.8"
"2024","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","6.7","8.4","6.4"
"2024","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.1","7.1"
"2024","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.0","7.0"
"2024","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.6","8.2","6.4"
"2024","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","6.3","7.9","6.1"
"2024","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","8.8","6.9"
"2024","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.3","8.0","6.2"
"2024","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.2","7.9","6.1"
"2024","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.8","7.4","5.8"
"2024","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.2","7.9","6.1"
