unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
979145,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),2024,2024-01-01T00:00:00.000,6.036054096
979146,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),2024,2024-01-01T00:00:00.000,6.449908226
979147,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),2024,2024-01-01T00:00:00.000,6.333094323
979148,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),2024,2024-01-01T00:00:00.000,6.450779462
979149,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),2024,2024-01-01T00:00:00.000,6.625871497
979150,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,205,Fordham and University Heights (CD5),2024,2024-01-01T00:00:00.000,6.464715642
979151,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),2024,2024-01-01T00:00:00.000,6.507067361
979152,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,203,Morrisania and Crotona (CD3),2024,2024-01-01T00:00:00.000,6.765246623
979153,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,202,Hunts Point and Longwood (CD2),2024,2024-01-01T00:00:00.000,7.220022773
979154,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),2024,2024-01-01T00:00:00.000,6.79537083
979155,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),2024,2024-01-01T00:00:00.000,6.623322619
979156,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,111,East Harlem (CD11),2024,2024-01-01T00:00:00.000,6.683947531
979157,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,110,Central Harlem (CD10),2024,2024-01-01T00:00:00.000,6.847964651
979158,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),2024,2024-01-01T00:00:00.000,6.831355099
979159,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,108,Upper East Side (CD8),2024,2024-01-01T00:00:00.000,7.055602758
979160,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,107,Upper West Side (CD7),2024,2024-01-01T00:00:00.000,6.758897028
979161,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,106,Stuyvesant Town and Turtle Bay (CD6),2024,2024-01-01T00:00:00.000,8.375131708
979162,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,105,Midtown (CD5),2024,2024-01-01T00:00:00.000,10.45338289
979163,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),2024,2024-01-01T00:00:00.000,8.782176536
979164,1425,Fine particles (PM 2.5),Annual mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),2024,2024-01-01T00:00:00.000,8.095914921
