"RequestID","Boro","Yr","M","D","HH","MM","Vol","SegmentID","WktGeom","street","fromSt","toSt","Direction"
"36741","Bronx","2024","2","28","0","30","39","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","0","45","26","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","1","0","34","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","1","15","24","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","1","30","21","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","1","45","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","2","0","18","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","2","15","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","2","30","19","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","2","45","15","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","3","0","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","3","15","13","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","3","30","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","3","45","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","4","0","18","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","4","15","15","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","4","30","18","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","4","45","22","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","5","0","25","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","5","15","16","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","5","30","31","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","5","45","38","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","6","0","45","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","6","15","43","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","6","30","54","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","6","45","59","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","7","0","70","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","7","15","71","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","7","30","83","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","7","45","100","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","8","0","92","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","8","15","95","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","8","30","107","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","8","45","84","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","9","0","96","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","9","15","106","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","9","30","101","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","9","45","89","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","10","0","105","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","10","15","113","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","10","30","101","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","10","45","89","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
"36741","Bronx","2024","2","28","11","0","94","80035","POINT (1013887.8132016277 252701.71093446537)","WEBSTER AVENUE","East 188 Street","East 189 Street","NB"
