"RequestID","Boro","Yr","M","D","HH","MM","Vol","SegmentID","WktGeom","street","fromSt","toSt","Direction"
"36741","Manhattan","2024","2","25","3","0","4","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","3","15","4","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","3","30","5","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","3","45","2","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","4","0","1","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","4","15","4","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","4","30","5","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","4","45","6","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","5","0","4","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","5","15","5","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","5","30","7","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","5","45","8","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","6","0","3","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","6","15","5","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","6","30","7","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","6","45","9","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","7","0","11","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","7","15","9","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","7","30","17","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","7","45","12","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","8","0","19","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","8","15","14","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","8","30","12","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","8","45","20","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","9","0","19","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","9","15","16","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
"36741","Manhattan","2024","2","25","9","30","12","166137","POINT (997913.61349649 229824.13246526482)","CENTRAL PARK NORTH","Frawley Circle","Central Park Lenox Avenue Appr","WB"
