requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
38203,Bronx,2025,3,12,10,15,94,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,10,30,163,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,10,45,137,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,11,0,140,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,11,15,166,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,11,30,96,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,11,45,118,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,12,0,136,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,12,15,108,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,12,30,135,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,12,45,112,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,13,0,112,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,13,15,94,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,13,30,104,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,13,45,134,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,14,0,175,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,14,15,215,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,14,30,207,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
38203,Bronx,2025,3,12,14,45,212,9014571,POINT (1016307.4114839429 239006.17257189233),BRUCKNER BOULEVARD,Dead End,Bronx River Shoreline,EB
