toll_date,toll_hour,toll_10_minute_block,minute_of_hour,hour_of_day,day_of_week_int,day_of_week,toll_week,time_period,vehicle_class,detection_group,detection_region,crz_entries,excluded_roadway_entries
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Brooklyn Bridge,Brooklyn,40,65
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Hugh L. Carey Tunnel,Brooklyn,6,11
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Manhattan Bridge,Brooklyn,34,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Williamsburg Bridge,Brooklyn,58,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",East 60th St,East 60th St,151,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",FDR Drive at 60th St,FDR Drive,74,123
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Holland Tunnel,New Jersey,51,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Lincoln Tunnel,New Jersey,80,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Queens Midtown Tunnel,Queens,41,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",Queensboro Bridge,Queens,55,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",West 60th St,West 60th St,51,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,"1 - Cars, Pickups and Vans",West Side Highway at 60th St,West Side Highway,43,7
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Brooklyn Bridge,Brooklyn,0,1
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Manhattan Bridge,Brooklyn,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Williamsburg Bridge,Brooklyn,5,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,East 60th St,East 60th St,11,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,FDR Drive at 60th St,FDR Drive,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Holland Tunnel,New Jersey,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Lincoln Tunnel,New Jersey,5,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Queens Midtown Tunnel,Queens,7,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,Queensboro Bridge,Queens,2,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,West 60th St,West 60th St,4,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,2 - Single-Unit Trucks,West Side Highway at 60th St,West Side Highway,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Brooklyn Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Hugh L. Carey Tunnel,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Manhattan Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Williamsburg Bridge,Brooklyn,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,East 60th St,East 60th St,1,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,FDR Drive at 60th St,FDR Drive,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Holland Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Lincoln Tunnel,New Jersey,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queens Midtown Tunnel,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,Queensboro Bridge,Queens,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West 60th St,West 60th St,0,0
2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,2025-01-13T00:00:00.000,0,0,2,Monday,2025-01-12T00:00:00.000,Overnight,3 - Multi-Unit Trucks,West Side Highway at 60th St,West Side Highway,0,0
